consumer_package	dependency_package	v0.3.3_requirement	audited_head_requirement	topology_delta	compatibility_class	consumer_effect	upgrade_rollback
swallowtail-adapter-deepseek	swallowtail-protocol-openai-chat	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-deepseek	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-deepseek-harness	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-deepseek-harness	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-gemini	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-gemini	swallowtail-protocol-acp	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-gemini	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-goose	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-goose	swallowtail-protocol-acp	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-goose	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-grok	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-grok	swallowtail-protocol-acp	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-grok	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-kimi	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-kimi	swallowtail-protocol-acp	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-kimi	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-kimi-platform	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-kimi-platform	swallowtail-protocol-openai-chat	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-kimi-platform	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-kiro	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-kiro	swallowtail-protocol-acp	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-kiro	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-llama-cpp	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-llama-cpp	swallowtail-protocol-openai-chat	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-llama-cpp	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-mistral-vibe	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-mistral-vibe	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-muse	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-muse	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-oh-my-pi	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-oh-my-pi	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-ollama	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-ollama	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-openai	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-openai	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-opencode	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-opencode	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-openhands	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-openhands	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-pi	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-pi	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-qoder	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-qoder	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-qwen	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-qwen	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-xai	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-xai	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-zcode	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-adapter-zcode	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-host-local	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-host-local	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-idioms	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-runtime	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-runtime	swallowtail-idioms	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-testkit	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-testkit	swallowtail-idioms	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-testkit	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-transport-acp-remote	swallowtail-core	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-transport-acp-remote	swallowtail-protocol-acp	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
swallowtail-transport-acp-remote	swallowtail-runtime	^0.3.2	^0.3.3	none; exact edge retained	compatible coordinated-version requirement advance	no dependency is added, removed, or redirected; source edge remains acyclic and workspace-local	Card051 advances all normal/build internal requirements to coordinated 0.4.0; rollback uses v0.3.3 workspace requirements; do not mix versions
