route	status	changed_fields	old_route_row	new_route_row	lifecycle_status	lifecycle_changed_fields	old_lifecycle_row	new_lifecycle_row
copilot-cli.acp	CHANGED	surface	`copilot-cli.acp` | `swallowtail-adapter-copilot-cli`; `swallowtail.copilot-cli.acp` | one bounded interactive session; ACP v1 stdio | approved executable and environment; provider-supported host GitHub Copilot account state without a credential lease; explicit working resource | `copilot-cli.package`; exact `1.0.80`; no unverified-newer execution | `prepare_copilot_cli_acp` → `prepare_session` → `open_session` | `CopilotCliAcpDriver`; `InteractiveSessionDriver`	`copilot-cli.acp` | `swallowtail-adapter-copilot-cli`; `swallowtail.copilot-cli.acp` | one bounded interactive session; ACP v1 stdio; no portable reasoning selection because exact `1.0.80` model-entitles startup effort and may substitute the selected model's default, while the route selects no model | approved executable and environment; provider-supported host GitHub Copilot account state without a credential lease; explicit working resource | `copilot-cli.package`; exact `1.0.80`; no unverified-newer execution | `prepare_copilot_cli_acp` → `prepare_session` → `open_session` | `CopilotCliAcpDriver`; `InteractiveSessionDriver`	UNCHANGED	NONE	`copilot-cli.acp` | `unsupported` | `no` | `unsupported` | `unsupported` | `unsupported` | `unsupported` | exact `1.0.80`; selected ACP route advertises no close, load, or delete | connection, process, and task cleanup only; provider-owned session state is preserved	`copilot-cli.acp` | `unsupported` | `no` | `unsupported` | `unsupported` | `unsupported` | `unsupported` | exact `1.0.80`; selected ACP route advertises no close, load, or delete | connection, process, and task cleanup only; provider-owned session state is preserved
cursor-agent.headless	CHANGED	surface;authority	`cursor-agent.headless` | `swallowtail-adapter-cursor`; `swallowtail.cursor-agent.headless` | explicit-model one-prompt structured run with assistant, thinking, tool, result, and usage events; Cursor stream JSON over stdio | approved executable and environment; provider-supported delegated Cursor subscription login; explicit read-only plan mode or read-write authority; optional sandbox not selected | `cursor-agent.release-date`; exact `2026.07.01-41b2de7`, `2026.07.23-e383d2b`, `2026.08.04-aaa8809`, and `2026.08.11-e8db854`; no inferred gap; later dates permitted as visible unverified newer | `prepare_cursor(Headless)` → `prepare_run` → `start_run` | `CursorHeadlessDriver`; `StructuredRunDriver`	`cursor-agent.headless` | `swallowtail-adapter-cursor`; `swallowtail.cursor-agent.headless` | explicit-model one-prompt structured run with optional typed bracket model parameters (`fast`, `context`, `effort`), qualified high-effort `ReasoningSelection` on named Opus tuples only, assistant, thinking, tool, result, and usage events; Cursor stream JSON over stdio | approved executable and environment; provider-supported delegated Cursor subscription login; explicit read-only plan mode or read-write authority; optional closed Cursor-local Ask read mode on read authority and exactly qualified releases only, at qualified dispatch without an enforced read-only boundary; optional sandbox not selected | `cursor-agent.release-date`; exact `2026.07.01-41b2de7`, `2026.07.23-e383d2b`, `2026.08.04-aaa8809`, and `2026.08.11-e8db854`; no inferred gap; later dates permitted as visible unverified newer | `prepare_cursor(Headless)` → `prepare_run` → `start_run` | `CursorHeadlessDriver`; `StructuredRunDriver`	UNCHANGED	NONE	`cursor-agent.headless` | `unsupported` | `no` | `unsupported` | `unsupported` | `unsupported` | `unsupported` | exact qualified `2026.07.01-41b2de7`, `2026.07.23-e383d2b`, `2026.08.04-aaa8809`, and `2026.08.11-e8db854`; no inferred gap; later dates remain visible `UnverifiedNewer`; durable provider state exposes no public session identity | process and task cleanup only; provider state is preserved	`cursor-agent.headless` | `unsupported` | `no` | `unsupported` | `unsupported` | `unsupported` | `unsupported` | exact qualified `2026.07.01-41b2de7`, `2026.07.23-e383d2b`, `2026.08.04-aaa8809`, and `2026.08.11-e8db854`; no inferred gap; later dates remain visible `UnverifiedNewer`; durable provider state exposes no public session identity | process and task cleanup only; provider state is preserved
deepseek.continuation	CHANGED	surface;prepared_behavior	`deepseek.continuation` | `swallowtail-adapter-deepseek`; `swallowtail.deepseek.direct` | catalogue, one-request structured run, and interactive direct continuation; OpenAI-compatible HTTP/SSE | exact `https://api.deepseek.com` target; Open Platform API key | `deepseek.openai-chat-facade`; exact opaque revision | `prepare_deepseek_direct` → catalogue, run, or session profile → `list_models`, `start_run`, or `open_session`; prepared sessions expose context-losing restoration | `DeepSeekDirectDriver`; `ModelCatalogDriver`, `StructuredRunDriver`, and `InteractiveSessionDriver`	`deepseek.continuation` | `swallowtail-adapter-deepseek`; `swallowtail.deepseek.direct` | catalogue; one-request structured run with exact enabled `low\|high\|max` reasoning or adapter-local disabled thinking; interactive direct continuation fixed to enabled `low\|high\|max`; OpenAI-compatible HTTP/SSE | exact `https://api.deepseek.com` target; Open Platform API key | `deepseek.openai-chat-facade`; exact opaque revision | `prepare_deepseek_direct` → catalogue, run, or session profile → `list_models`, `start_run`, or `open_session`; disabled runs omit portable reasoning and `reasoning_effort`, while one enabled selection remains fixed across continuation and fresh restoration; disabled sessions, aliases, and mismatches reject before network work | `DeepSeekDirectDriver`; `ModelCatalogDriver`, `StructuredRunDriver`, and `InteractiveSessionDriver`	UNCHANGED	NONE	`deepseek.continuation` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | exact opaque `deepseek.openai-chat-facade` revision; continuation is consumer-owned | request and stream cleanup only	`deepseek.continuation` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | exact opaque `deepseek.openai-chat-facade` revision; continuation is consumer-owned | request and stream cleanup only
gemini-cli.acp	CHANGED	surface;version_identity	`gemini-cli.acp` | `swallowtail-adapter-gemini`; `swallowtail.gemini.acp` | interactive session with negotiated model options and optional exact plan-mode selection on the read-only profile; ACP v1 stdio | approved executable; provider-supported Gemini Developer API-key profile | `gemini-cli.acp-agent`; maintained release plus permitted unverified-newer stable points | `prepare_gemini_acp` → `prepare_session` → `open_session`; read options from the authorized handle | `GeminiAcpDriver`; `InteractiveSessionDriver`	`gemini-cli.acp` | `swallowtail-adapter-gemini`; `swallowtail.gemini.acp` | interactive session with negotiated model options, optional exact plan-mode selection on the read-only profile, or bounded host text-write callbacks; ACP v1 stdio | approved executable; provider-supported Gemini Developer API-key profile | `gemini-cli.acp-agent`; maintained `0.51.0..=0.56.0` plus permitted unverified-newer stable points | `prepare_gemini_acp` → `prepare_session` → `open_session`; read options from the authorized handle | `GeminiAcpDriver`; `InteractiveSessionDriver`	CHANGED	version	`gemini-cli.acp` | `unsupported` | `no` | `unsupported` | `unsupported` | `unsupported` | `unsupported` | exact qualified `0.51.0`; later stable points may be visible `UnverifiedNewer`; selected ACP route advertises no close or delete | connection and process cleanup only; provider state is preserved	`gemini-cli.acp` | `unsupported` | `no` | `unsupported` | `unsupported` | `unsupported` | `unsupported` | maintained `0.51.0..=0.56.0`; later stable points may be visible `UnverifiedNewer`; selected ACP route advertises no close or delete | connection and process cleanup only; provider state is preserved
gemini-cli.headless	CHANGED	version_identity	`gemini-cli.headless` | `swallowtail-adapter-gemini`; `swallowtail.gemini.headless` | one-prompt structured run with usage; stream-json stdio | approved executable and environment; provider-supported Gemini Developer API-key profile; explicit ambient harness configuration and durable transcript retention | `gemini-cli.headless-stream-json`; exact `0.51.0..=0.52.0` plus permitted unverified-newer stable points | `prepare_gemini_cli(Headless)` → `prepare_run` → `start_run` | `GeminiHeadlessDriver`; `StructuredRunDriver`	`gemini-cli.headless` | `swallowtail-adapter-gemini`; `swallowtail.gemini.headless` | one-prompt structured run with usage; stream-json stdio | approved executable and environment; provider-supported Gemini Developer API-key profile; explicit ambient harness configuration and durable transcript retention | `gemini-cli.headless-stream-json`; maintained `0.51.0..=0.56.0` plus permitted unverified-newer stable points | `prepare_gemini_cli(Headless)` → `prepare_run` → `start_run` | `GeminiHeadlessDriver`; `StructuredRunDriver`	CHANGED	version	`gemini-cli.headless` | `unsupported` | `no` | `unsupported` | `unsupported` | `unsupported` | `unsupported` | exact qualified `0.51.0..=0.52.0`; delete exit and provider prose cannot confirm removal, while `--list-sessions` may invoke summary inference and mutate history | durable runs preserve the transcript; the opt-in owned cleanup profile issues one joined delete attempt and reports removal unconfirmed without listing	`gemini-cli.headless` | `unsupported` | `no` | `unsupported` | `unsupported` | `unsupported` | `unsupported` | maintained `0.51.0..=0.56.0`; delete exit and provider prose cannot confirm removal, while `--list-sessions` may invoke summary inference and mutate history | durable runs preserve the transcript; the opt-in owned cleanup profile issues one joined delete attempt and reports removal unconfirmed without listing
gemini.live	CHANGED	surface;version_identity;prepared_behavior	`gemini.live` | `swallowtail-adapter-gemini`; `swallowtail.gemini.live` | realtime media session; Gemini Live raw WebSocket | approved Gemini Live endpoint; project authorization API key | `gemini.live-facade`; exact opaque revision | `prepare_gemini_live` → `prepare_live_session` → `open_session` or fresh realtime restoration | `GeminiLiveDriver`; `RealtimeMediaSessionDriver`	`gemini.live` | `swallowtail-adapter-gemini`; `swallowtail.gemini.live` | realtime media session with exact `minimal\|low\|medium\|high` reasoning selection, optional positive output-token maximum through `65_536`, and adapter-local default-only sliding-window context compression on `gemini-3.1-flash-live-preview`; Gemini Live raw WebSocket | approved Gemini Live endpoint; project authorization API key | `gemini.live-facade`; exact opaque `...BidiGenerateContent.thinking-output-max-context-compression-2026-08-23` revision | `prepare_gemini_live` → `prepare_live_session` → `open_session` or fresh realtime restoration; selected controls remain fixed across initial setup, one planned rollover, and fresh restoration; omission keeps `MINIMAL`, omits `maxOutputTokens` and `contextWindowCompression`, and claims neither caller selection nor effective compression | `GeminiLiveDriver`; `RealtimeMediaSessionDriver`	UNCHANGED	NONE	`gemini.live` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | exact opaque `gemini.live-facade` revision; media session is connection-scoped | provider rollover and connection cleanup only	`gemini.live` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | exact opaque `gemini.live-facade` revision; media session is connection-scoped | provider rollover and connection cleanup only
kimi-code.acp	CHANGED	version_identity	`kimi-code.acp` | `swallowtail-adapter-kimi`; `swallowtail.kimi.acp` | resource-scoped provider-session catalogue/import plus persistent interactive session with negotiated model options; ACP v1 stdio | approved executable; delegated Kimi membership OAuth reference; explicit opaque state-root identity for catalogue/import | `kimi-code.executable`; exact `0.28.1` plus qualified `0.29.0..=0.37.2`, then permitted unverified-newer stable points; unverified-newer does not inherit import | `prepare_kimi_code(Acp)` → `prepare_session_catalogue`/`prepare_session_import` or `prepare_session` → typed operation; imported bindings then use ordinary `load_session` or `resume_session` | `KimiAcpDriver`; `ProviderSessionCatalogueDriver`, `ProviderSessionImportDriver`, and `InteractiveSessionDriver`	`kimi-code.acp` | `swallowtail-adapter-kimi`; `swallowtail.kimi.acp` | resource-scoped provider-session catalogue/import plus persistent interactive session with negotiated model options; ACP v1 stdio | approved executable; delegated Kimi membership OAuth reference; explicit opaque state-root identity for catalogue/import | `kimi-code.executable`; exact `0.28.1` plus qualified `0.29.0..=0.38.0` under `QualifiedOnly`; exact `0.39.0` and `0.39.1` are excluded for an uncontained process-authority change; every point above `0.38.0` fails closed; ACP does not admit unverified-newer | `prepare_kimi_code(Acp)` → `prepare_session_catalogue`/`prepare_session_import` or `prepare_session` → typed operation; imported bindings then use ordinary `load_session` or `resume_session` | `KimiAcpDriver`; `ProviderSessionCatalogueDriver`, `ProviderSessionImportDriver`, and `InteractiveSessionDriver`	CHANGED	version	`kimi-code.acp` | `unsupported` | `no` | `unsupported` | `unsupported` | `unsupported` | `unsupported` | exact qualified `0.28.1` plus `0.29.0..=0.37.2`; later stable points may be visible `UnverifiedNewer`; selected ACP route supports separate catalogue/import; initialize may advertise close/delete, which stay unmapped | catalogue/import joins its process and releases leases; interactive connection cleanup preserves provider state	`kimi-code.acp` | `unsupported` | `no` | `unsupported` | `unsupported` | `unsupported` | `unsupported` | exact qualified `0.28.1` plus `0.29.0..=0.38.0` under `QualifiedOnly`; exact `0.39.0` and `0.39.1` are incompatible because the agent-core-v2 ACP terminal runner replaces fail-closed errors with an uncontained local host-process spawn under the `terminal: false` capabilities this route advertises; every point above `0.38.0` fails closed; selected ACP route supports separate catalogue/import; initialize may advertise close/delete, which stay unmapped | catalogue/import joins its process and releases leases; interactive connection cleanup preserves provider state
kimi-code.headless	CHANGED	authority;version_identity	`kimi-code.headless` | `swallowtail-adapter-kimi`; `swallowtail.kimi.headless` | one-prompt structured run; stream-json stdio | approved executable and audited default-engine environment; delegated Kimi membership OAuth reference; explicit ambient harness configuration and durable provider retention | `kimi-code.executable`; exact `0.29.0..=0.37.2`, then permitted unverified-newer stable points | `prepare_kimi_code(Headless)` → `prepare_run` → `start_run` | `KimiHeadlessDriver`; `StructuredRunDriver`	`kimi-code.headless` | `swallowtail-adapter-kimi`; `swallowtail.kimi.headless` | one-prompt structured run; stream-json stdio | approved executable and ambient harness configuration; delegated Kimi membership OAuth reference; durable provider retention | `kimi-code.executable`; `0.29.0..=0.32.0` under `kimi.headless.stream-json.v1`; `0.33.0..=0.39.1` under `kimi.headless.stream-json.v2`; the split is the exact point where the default `-p` engine becomes agent-core-v2; synthetic later stables permitted `UnverifiedNewer` on the assessed revision | `prepare_kimi_code(Headless)` → `prepare_run` → `start_run` | `KimiHeadlessDriver`; `StructuredRunDriver`	CHANGED	version	`kimi-code.headless` | `unsupported` | `no` | `unsupported` | `unsupported` | `unsupported` | `unsupported` | exact qualified `0.29.0..=0.37.2`; later stable points may be visible `UnverifiedNewer`; each run may retain provider-owned session state without exposing its identity | process and task cleanup only; provider state is preserved	`kimi-code.headless` | `unsupported` | `no` | `unsupported` | `unsupported` | `unsupported` | `unsupported` | exact qualified `0.29.0..=0.32.0` under v1; `0.33.0..=0.39.1` qualified under v2 with `system.version` preamble; later stable points may be visible `UnverifiedNewer` on the assessed revision; each run may retain provider-owned session state without exposing its identity | process and task cleanup only; provider state is preserved
kimi-code.local-server	CHANGED	version_identity	`kimi-code.local-server` | `swallowtail-adapter-kimi`; `swallowtail.kimi.local-server` | catalogue, retained one-prompt structured run, interactive session, exact-turn reconciliation, optional settled reconcile then replay-free resume, controlled attached-turn detachment, and inactive provider-session archive/restore; local REST and WebSocket v2 | approved loopback server endpoint and opaque server-bearer lease; Kimi retains its separate harness account and configuration | `kimi-code.executable`; exact `0.28.1`, exact `0.29.0`, qualified `0.29.1..=0.30.0`, exact `0.31.0`, exact `0.31.1`, qualified `0.32.0..=0.34.0`, and qualified `0.35.0..=0.37.2` behavior milestones, then permitted visible unverified-newer points | `prepare_kimi_local_server_attached` or `start_kimi_local_server_owned` → catalogue, run, session, reconciliation, archive, restore, or ACP-binding-import profile → its typed operation; a prepared reconciliation and session may compose through `prepare_settled_session_restoration` | `KimiLocalServerDriver`; `ModelCatalogDriver`, `StructuredRunDriver`, `InteractiveSessionDriver`, `ProviderSessionReconciliationDriver`, and `ProviderSessionManagementDriver`	`kimi-code.local-server` | `swallowtail-adapter-kimi`; `swallowtail.kimi.local-server` | catalogue, retained one-prompt structured run, interactive session, exact-turn reconciliation, optional settled reconcile then replay-free resume, controlled attached-turn detachment, and inactive provider-session archive/restore; local REST and WebSocket v2 | approved loopback server endpoint and opaque server-bearer lease; Kimi retains its separate harness account and configuration | `kimi-code.executable`; exact `0.28.1`, exact `0.29.0`, qualified `0.29.1..=0.30.0`, exact `0.31.0`, exact `0.31.1`, qualified `0.32.0..=0.34.0`, and qualified `0.35.0..=0.38.0` behavior milestones, then permitted visible unverified-newer points | `prepare_kimi_local_server_attached` or `start_kimi_local_server_owned` → catalogue, run, session, reconciliation, archive, restore, or ACP-binding-import profile → its typed operation; a prepared reconciliation and session may compose through `prepare_settled_session_restoration` | `KimiLocalServerDriver`; `ModelCatalogDriver`, `StructuredRunDriver`, `InteractiveSessionDriver`, `ProviderSessionReconciliationDriver`, and `ProviderSessionManagementDriver`	CHANGED	version	`kimi-code.local-server` | `supported` | `yes` | `supported` | `supported` | `unsupported` | `unsupported` | exact qualified `0.28.1` plus `0.29.0..=0.37.2`; profile and disabled-tool controls require `0.29.0`; `0.31.0` has a distinct subagent-status revision, `0.31.1` a refresh-stable revision, `0.32.0..=0.34.0` optional-meta-flags, and `0.35.0..=0.37.2` heartbeat-ping; later stable points may be visible `UnverifiedNewer` | joins WebSocket and task work, answers application ping with pong, releases the server-bearer lease, preserves provider state, and stops only an owned foreground child	`kimi-code.local-server` | `supported` | `yes` | `supported` | `supported` | `unsupported` | `unsupported` | exact qualified `0.28.1` plus `0.29.0..=0.38.0`; profile and disabled-tool controls require `0.29.0`; `0.31.0` has a distinct subagent-status revision, `0.31.1` a refresh-stable revision, `0.32.0..=0.34.0` optional-meta-flags, and `0.35.0..=0.38.0` heartbeat-ping; later stable points may be visible `UnverifiedNewer` | joins WebSocket and task work, answers application ping with pong, releases the server-bearer lease, preserves provider state, and stops only an owned foreground child
llama-cpp.owned	CHANGED	surface;prepared_behavior	`llama-cpp.owned` | `swallowtail-adapter-llama-cpp`; `swallowtail.llama-cpp.owned-b10069-openai-chat` | owned ephemeral serving lifecycle; process plus HTTP/SSE | approved `llama-server` executable and exact GGUF artifact; local unauthenticated compute | `llama.cpp.owned-runtime`; exact opaque b10069/178a6c449 revision | `prepare_llama_cpp_owned` → `prepare_serving_start` → `start` and returned-handle `stop` | `LlamaCppOwnedDriver`; `ServingInstanceDriver`	`llama-cpp.owned` | `swallowtail-adapter-llama-cpp`; `swallowtail.llama-cpp.owned-b10069-openai-chat` | owned ephemeral serving lifecycle with optional adapter-local `--ctx-size N` and `--reasoning off` dispatch; process plus HTTP/SSE | approved `llama-server` executable and exact GGUF artifact; local unauthenticated compute | `llama.cpp.owned-runtime`; exact opaque b10069/178a6c449 revision | `prepare_llama_cpp_owned` → optional `LlamaCppContextSize` (`1..=2147483647`) and optional `LlamaCppReasoningSelection::Disabled` → `prepare_serving_start` → `start` and returned-handle `stop`; omission preserves no context and no reasoning flag | `LlamaCppOwnedDriver`; `ServingInstanceDriver`	UNCHANGED	NONE	`llama-cpp.owned` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | exact opaque b10069/178a6c449 revision; serving lifecycle is not session management | stops and joins the owned server; model and provider state are not managed	`llama-cpp.owned` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | exact opaque b10069/178a6c449 revision; serving lifecycle is not session management | stops and joins the owned server; model and provider state are not managed
mistral-vibe.headless	CHANGED	surface	`mistral-vibe.headless` | `swallowtail-adapter-mistral-vibe`; `swallowtail.mistral-vibe.headless` | one-prompt structured run; streaming NDJSON over stdio | approved executable and environment; provider-supported local Vibe config state without a credential lease; explicit working resource and host process deadline | `mistral-vibe.release`; exact `2.24.2`; no unverified-newer execution | `prepare_mistral_vibe_headless` → `prepare_run` → `start_run` | `MistralVibeHeadlessDriver`; `StructuredRunDriver`	`mistral-vibe.headless` | `swallowtail-adapter-mistral-vibe`; `swallowtail.mistral-vibe.headless` | one-prompt structured run; streaming NDJSON over stdio; exact caller-decreasing maximum turns `1..=8` with omission fixed at `8` | approved executable and environment; provider-supported local Vibe config state without a credential lease; explicit working resource and host process deadline | `mistral-vibe.release`; exact `2.24.2`; no unverified-newer execution | `prepare_mistral_vibe_headless` → `prepare_run` → `start_run` | `MistralVibeHeadlessDriver`; `StructuredRunDriver`	UNCHANGED	NONE	`mistral-vibe.headless` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | exact `2.24.2`; one print run and no reusable provider-session identity | process and task cleanup only; local Vibe config state is preserved	`mistral-vibe.headless` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | exact `2.24.2`; one print run and no reusable provider-session identity | process and task cleanup only; local Vibe config state is preserved
oh-my-pi.rpc	CHANGED	version_identity	`oh-my-pi.rpc` | `swallowtail-adapter-oh-my-pi`; `swallowtail.oh-my-pi.rpc` | catalogue, one-prompt structured run, and interactive session with exact model/reasoning selection, typed questions, and optional bounded PNG input; negotiated RPC v2 chunked JSONL stdio | approved executable and environment; provider-supported local OMP authentication state; explicit ambient read authority and a provider-suppressed tool set | `oh-my-pi.package`; maintained `17.2.9..=17.3.8`, then permitted visible unverified-newer stable points | `prepare_oh_my_pi_rpc` → catalogue, run, or session profile → `list_models`, `start_run`, or `open_session`; prepared sessions expose fresh context-losing restoration | `OhMyPiRpcDriver`; `ModelCatalogDriver`, `StructuredRunDriver`, and `InteractiveSessionDriver`	`oh-my-pi.rpc` | `swallowtail-adapter-oh-my-pi`; `swallowtail.oh-my-pi.rpc` | catalogue, one-prompt structured run, and interactive session with exact model/reasoning selection, typed questions, and optional bounded PNG input; negotiated RPC v2 chunked JSONL stdio | approved executable and environment; provider-supported local OMP authentication state; explicit ambient read authority and a provider-suppressed tool set | `oh-my-pi.package`; maintained `17.2.9..=17.4.0`, then permitted visible unverified-newer stable points | `prepare_oh_my_pi_rpc` → catalogue, run, or session profile → `list_models`, `start_run`, or `open_session`; prepared sessions expose fresh context-losing restoration | `OhMyPiRpcDriver`; `ModelCatalogDriver`, `StructuredRunDriver`, and `InteractiveSessionDriver`	CHANGED	version	`oh-my-pi.rpc` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | exact qualified `17.2.9..=17.3.8`; later stable points may be visible `UnverifiedNewer` | operation process and materialized attachment cleanup only; local OMP auth/config state is preserved	`oh-my-pi.rpc` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | exact qualified `17.2.9..=17.4.0`; later stable points may be visible `UnverifiedNewer` | operation process and materialized attachment cleanup only; local OMP auth/config state is preserved
ollama.attached	CHANGED	surface;version_identity	`ollama.attached` | `swallowtail-adapter-ollama`; `swallowtail.ollama.native-attached` | inventory, structured run, and bounded interactive transcript replay with selected-model reasoning evidence and provider-native JSON Schema on structured runs; native HTTP/NDJSON | approved attached-runtime endpoint; local unauthenticated compute | `ollama.runtime`; maintained `0.14.0..=0.32.14` excluding `0.32.2` and `0.32.10`, plus permitted unverified-newer stable points | `prepare_ollama_attached` → inventory, inference-attempt, or session profile → `observe_inventory`, `start_run`, or `open_session`; prepared sessions expose context-losing restoration and commit only clean terminal turns | `OllamaNativeAttachedDriver`; `ModelCatalogDriver`, `StructuredRunDriver`, and `InteractiveSessionDriver`	`ollama.attached` | `swallowtail-adapter-ollama`; `swallowtail.ollama.native-attached` | inventory, structured run, and bounded interactive transcript replay with selected-model reasoning evidence, optional adapter-local `options.num_ctx`, and provider-native JSON Schema on structured runs; native HTTP/NDJSON | approved attached-runtime endpoint; local unauthenticated compute | `ollama.runtime`; maintained `0.14.0..=0.32.15` excluding `0.32.2` and `0.32.10`, plus permitted unverified-newer stable points | `prepare_ollama_attached` → inventory, inference-attempt, or session profile → `observe_inventory`, `start_run`, or `open_session`; prepared sessions expose context-losing restoration and commit only clean terminal turns | `OllamaNativeAttachedDriver`; `ModelCatalogDriver`, `StructuredRunDriver`, and `InteractiveSessionDriver`	UNCHANGED	NONE	`ollama.attached` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | accepted `ollama.runtime` segments; attached inference has no provider session | request cleanup only; the external runtime is preserved	`ollama.attached` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | accepted `ollama.runtime` segments; attached inference has no provider session | request cleanup only; the external runtime is preserved
openai.background	CHANGED	surface;version_identity;prepared_behavior	`openai.background` | `swallowtail-adapter-openai`; `swallowtail.openai.background` | retained structured run with exact reasoning, provider-native JSON Schema, optional controlled detachment, and exact read-only run reconciliation; HTTP/SSE background Responses | exact public API endpoint; public API key and pay-as-you-go billing | `openai.responses-background-facade`; exact opaque revision | `prepare_openai_background` → `prepare_background_run` → `start_run`, or `prepare_run_reconciliation` → `reconcile`; detachable run profiles opt in before dispatch | `OpenAiBackgroundDriver`; `StructuredRunDriver` and `ProviderRunReconciliationDriver`	`openai.background` | `swallowtail-adapter-openai`; `swallowtail.openai.background` | retained structured run with exact reasoning, provider-native JSON Schema, adapter-local explicit standard service-tier dispatch, optional controlled detachment, and exact read-only run reconciliation; HTTP/SSE background Responses | exact public API endpoint; public API key and pay-as-you-go billing | `openai.responses-background-facade`; exact opaque `openai-responses-background-2026-08-23-service-tier` revision | `prepare_openai_background` → `prepare_background_run` → `start_run`, or `prepare_run_reconciliation` → `reconcile`; explicit `default` is ordinary attached/one-reattachment dispatch-only, selected detachment rejects, and selected-tier checkpoints cannot restart reconciliation | `OpenAiBackgroundDriver`; `StructuredRunDriver` and `ProviderRunReconciliationDriver`	CHANGED	cleanup	`openai.background` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | exact opaque `openai.responses-background-facade` revision; retained run is not a reusable thread | ordinary runs use bounded retrieval and native cancellation, then terminal response deletion; selected detachment preserves the exact checkpointed response for read-only run reconciliation	`openai.background` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | exact opaque `openai.responses-background-facade` revision; retained run is not a reusable thread | ordinary runs use bounded retrieval and native cancellation, then terminal response deletion; detachment-qualified runs with omitted service tier preserve the exact checkpointed response for read-only run reconciliation, while selected-tier checkpoints reject reconciliation
openai.realtime	CHANGED	surface;version_identity	`openai.realtime` | `swallowtail-adapter-openai`; `swallowtail.openai.realtime` | realtime media session with exact output-token maximum; WebSocket | approved public Realtime endpoint; OpenAI public API key and pay-as-you-go billing | `openai.realtime-facade`; exact opaque revision | `prepare_openai_realtime` → `prepare_realtime_session` → `open_session` or fresh realtime restoration | `OpenAiRealtimeDriver`; `RealtimeMediaSessionDriver`	`openai.realtime` | `swallowtail-adapter-openai`; `swallowtail.openai.realtime` | realtime media session with exact output-token maximum and session-scoped reasoning effort; WebSocket | approved public Realtime endpoint; OpenAI public API key and pay-as-you-go billing | `openai.realtime-facade`; exact opaque revision `openai-realtime-reasoning-2026-08-27` | `prepare_openai_realtime` → `prepare_realtime_session` → `open_session` or fresh realtime restoration | `OpenAiRealtimeDriver`; `RealtimeMediaSessionDriver`	UNCHANGED	NONE	`openai.realtime` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | exact opaque `openai.realtime-facade` revision; media session is connection-scoped | response and connection cleanup only	`openai.realtime` | `not-applicable` | `no` | `not-applicable` | `not-applicable` | `not-applicable` | `not-applicable` | exact opaque `openai.realtime-facade` revision; media session is connection-scoped | response and connection cleanup only
