route	package_driver	surface_behavior	authority	version_identity	prepared_behavior	driver	lifecycle_behavior	release_inventory_v0.3.3	feature_matrix_delta	route_matrix_delta	lifecycle_matrix_delta	cross_cutting_behavior_delta	compatibility_class	consumer_effect	evidence	changelog_release_note_coverage	upgrade_rollback
`claude-code.response-only`	`swallowtail-adapter-claude-agent`; `swallowtail.claude-code.response-only`	one tool-free bounded assistant text response with usage and reasoning selection; strict Claude Code stream JSON over stdio	approved `claude` executable and explicit OAuth/keychain environment; provider-supported local Claude subscription access; provider-suppressed tools and MCP, ambient-host isolation, no working resource, no session persistence	`claude-code.response-only-stream-json`; qualified `2.1.227..=2.1.257` excluding unpublished `2.1.244`, `2.1.249`, and `2.1.253` through `2.1.256`; later stable releases provisionally `UnverifiedNewer`; explicit known-bad deny-list	`prepare_claude_code_response_only` → `prepare_run` → `start_run`	`ClaudeCodeResponseOnlyDriver`; `StructuredRunDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=qualified `2.1.227..=2.1.257` excluding unpublished `2.1.244`, `2.1.249`, and `2.1.253` through `2.1.256`; later stable releases run provisionally unless explicitly denied; every run disables session persistence and exposes no reusable provider identity; cleanup_guarantee=process and task cleanup only; no provider session is retained	yes	guaranteed_version_posture;notes	CHANGED:version_identity	CHANGED:version	NONE (negative evidence: route does not use InteractiveSessionDriver)	compatible extension/currentness or additive route-local behavior	existing supported route identity and prior behavior remain; additions are opt-in, exact-version-bound, or dispatch-only unless the evidence column names a stricter boundary	current/tag route snapshots; route/lifecycle/feature/activity matrices; mapped Research and g04/g05 card closeouts; unchanged fields are negative evidence	CHANGELOG [Unreleased] Changed/Added entries and route guides cover the named feature/currentness item; Card051 must consolidate release-note wording	no action for existing uses; opt into additions only at their exact qualified point; rollback omits the new selection and returns to v0.3.3 route behavior
`cline.acp`	`swallowtail-adapter-cline`; `swallowtail.cline.acp`	one bounded interactive session; ACP v1 stdio; optional portable `HarnessMode::Plan` via confirmed `session/set_config_option` `mode=plan` before the first prompt; no portable reasoning selection because exact `3.0.55` parses then discards `--thinking` and hard-codes thinking off	approved executable and environment; provider-supported local Cline account state without a credential lease; explicit working resource	`cline.package`; exact `3.0.55`; no unverified-newer execution	`prepare_cline_acp` → `prepare_session` → `open_session`	`ClineAcpDriver`; `InteractiveSessionDriver`	persistent_session=`unsupported`; management_binding=`no`; archive=`unsupported`; restore=`unsupported`; delete=`unsupported`; deletion_strength=`unsupported`; version_identity=exact `3.0.55`; selected ACP route advertises no close, load, or delete; cleanup_guarantee=connection, process, and task cleanup only; provider-owned session state is preserved	yes	notes	CHANGED:surface	UNCHANGED:NONE	BREAKING shared close seam: exact HostServices + SessionCleanupRequest + caller-selected absolute deadline; expiry/cancellation transfers cleanup ownership and never claims Clean without proof	compatible extension/currentness or additive route-local behavior	existing supported route identity and prior behavior remain; additions are opt-in, exact-version-bound, or dispatch-only unless the evidence column names a stricter boundary	current/tag route snapshots; route/lifecycle/feature/activity matrices; mapped Research and g04/g05 card closeouts; unchanged fields are negative evidence	CHANGELOG [Unreleased] Changed/Added entries and route guides cover the named feature/currentness item; Card051 must consolidate release-note wording	no action for existing uses; opt into additions only at their exact qualified point; rollback omits the new selection and returns to v0.3.3 route behavior
`cline.headless`	`swallowtail-adapter-cline`; `swallowtail.cline.headless`	one-prompt structured run with optional portable `HarnessMode::Plan` as canonical `--plan`; envelope NDJSON over stdio; no portable reasoning selection because exact `3.0.55` model-entitles and may normalize the value while this route selects no provider/model and gets no applied-tier acknowledgement	approved executable and environment; provider-supported local Cline account state without a credential lease; explicit working resource and host process deadline	`cline.package`; exact `3.0.55`; no unverified-newer execution	`prepare_cline_headless` → `prepare_run` → `start_run`	`ClineHeadlessDriver`; `StructuredRunDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=exact `3.0.55`; one print run and no reusable provider-session identity; cleanup_guarantee=process and task cleanup only; local Cline account/config state is preserved	yes	notes	CHANGED:surface	UNCHANGED:NONE	NONE (negative evidence: route does not use InteractiveSessionDriver)	compatible extension/currentness or additive route-local behavior	existing supported route identity and prior behavior remain; additions are opt-in, exact-version-bound, or dispatch-only unless the evidence column names a stricter boundary	current/tag route snapshots; route/lifecycle/feature/activity matrices; mapped Research and g04/g05 card closeouts; unchanged fields are negative evidence	CHANGELOG [Unreleased] Changed/Added entries and route guides cover the named feature/currentness item; Card051 must consolidate release-note wording	no action for existing uses; opt into additions only at their exact qualified point; rollback omits the new selection and returns to v0.3.3 route behavior
`codex.app-server`	`swallowtail-adapter-codex`; `swallowtail.codex.app-server`	catalogue, interactive session with optional exact plan-mode selection, newest-first provider history pages over bounded thread read, exact or session-scoped interrupted-turn reconciliation, optional settled reconcile then bounded load, and inactive provider-thread management; JSONL RPC stdio	approved executable and environment; caller-selected Codex profile plus matching evidence	`codex.cli`; independent app-server, thread-read, and lifecycle behavior segments with permitted visible unverified-newer points	`prepare_codex(AppServer)` → catalogue, session, history, reconciliation, archive, restore, or delete profile → its typed bound operation; a prepared reconciliation and session may compose through `prepare_settled_session_restoration`	`CodexAppServerDriver`; `ModelCatalogDriver`, `InteractiveSessionDriver`, `ProviderSessionHistoryDriver`, `ProviderSessionReconciliationDriver`, and `ProviderSessionManagementDriver`	persistent_session=`supported`; management_binding=`yes`; archive=`supported`; restore=`supported`; delete=`supported`; deletion_strength=`ProviderHardDeleted`; version_identity=qualified segments inside `0.80.0..=0.152.1`, excluding `0.82.0..=0.83.0`, `0.108.0..=0.109.0`, unpublished `0.149.2`, unpublished `0.150.2`, and unpublished `0.151.1`: archive from `0.80.0`, restore from `0.92.0`, delete from `0.140.0`; later stable points may be visible `UnverifiedNewer`; cleanup_guarantee=attachment and process cleanup only; provider state is preserved	yes	guaranteed_version_posture;notes	UNCHANGED:NONE	CHANGED:version	BREAKING shared close seam: exact HostServices + SessionCleanupRequest + caller-selected absolute deadline; expiry/cancellation transfers cleanup ownership and never claims Clean without proof	unchanged route-local behavior; explicit negative evidence	route-local identity, surface, authority, version, prepared behavior, driver, lifecycle, and feature row show no delta versus v0.3.3; shared close seam applies	current route/lifecycle snapshot equals the v0.3.3 row; route and lifecycle delta inventories record no change; feature/activity matrices are unchanged	no route-local release-note delta required; immutable v0.3.3 route row is the negative evidence	v0.4.0 consumers still update the shared InteractiveSessionHandle::close call if this route uses interactive sessions; otherwise none; rollback is the v0.3.3 source
`codex.exec`	`swallowtail-adapter-codex`; `swallowtail.codex.exec`	structured run with optional adapter-local `model_verbosity` on exact `0.147.0..=0.149.1` slugs; structured CLI	approved executable and environment; caller-selected Codex profile plus matching evidence	`codex.cli`; ordered maintained/deprecated range with permitted unverified-newer stable points	`prepare_codex(StructuredExec)` → `prepare_structured_exec` → `start_run`; verbosity is dispatch-only against frozen tag metadata	`CodexExecDriver`; `StructuredRunDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=accepted `codex.cli` exec segments; no persistent-session claim; cleanup_guarantee=run and process cleanup only	yes	guaranteed_version_posture;notes	CHANGED:surface;prepared_behavior	UNCHANGED:NONE	NONE (negative evidence: route does not use InteractiveSessionDriver)	compatible extension/currentness or additive route-local behavior	existing supported route identity and prior behavior remain; additions are opt-in, exact-version-bound, or dispatch-only unless the evidence column names a stricter boundary	current/tag route snapshots; route/lifecycle/feature/activity matrices; mapped Research and g04/g05 card closeouts; unchanged fields are negative evidence	CHANGELOG [Unreleased] Changed/Added entries and route guides cover the named feature/currentness item; Card051 must consolidate release-note wording	no action for existing uses; opt into additions only at their exact qualified point; rollback omits the new selection and returns to v0.3.3 route behavior
`command-code.headless`	`swallowtail-adapter-command-code`; `swallowtail.command-code.headless`	explicit-model read-only structured run or Contract 043 interactive turns with thinking, text, tool, result, and usage events; Command Code AgentEvent NDJSON over stdio	approved executable and environment; provider-supported local Command Code account state without a credential lease; plan-mode read-only working resource; structured `--no-session` or interactive exact private `--resume`	`command-code.npm`; exact `1.15.1`; no unverified-newer execution	`prepare_command_code_headless` → `prepare_run` / `prepare_session` → `start_run` / `open_session`; prepared sessions expose fresh context-losing restoration	`CommandCodeHeadlessDriver`; `StructuredRunDriver` and `InteractiveSessionDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=exact `1.15.1`; structured runs use `--no-session`; interactive turns privately retain only an exact session id with no public load/resume binding; cleanup_guarantee=process and task cleanup only; local Command Code account/config state and project transcripts are preserved	yes	NONE (negative evidence: feature row unchanged)	UNCHANGED:NONE	UNCHANGED:NONE	BREAKING shared close seam: exact HostServices + SessionCleanupRequest + caller-selected absolute deadline; expiry/cancellation transfers cleanup ownership and never claims Clean without proof	unchanged route-local behavior; explicit negative evidence	route-local identity, surface, authority, version, prepared behavior, driver, lifecycle, and feature row show no delta versus v0.3.3; shared close seam applies	current route/lifecycle snapshot equals the v0.3.3 row; route and lifecycle delta inventories record no change; feature/activity matrices are unchanged	no route-local release-note delta required; immutable v0.3.3 route row is the negative evidence	v0.4.0 consumers still update the shared InteractiveSessionHandle::close call if this route uses interactive sessions; otherwise none; rollback is the v0.3.3 source
`copilot-cli.acp`	`swallowtail-adapter-copilot-cli`; `swallowtail.copilot-cli.acp`	one bounded interactive session; ACP v1 stdio; no portable reasoning selection because exact `1.0.80` model-entitles startup effort and may substitute the selected model's default, while the route selects no model	approved executable and environment; provider-supported host GitHub Copilot account state without a credential lease; explicit working resource	`copilot-cli.package`; exact `1.0.80`; no unverified-newer execution	`prepare_copilot_cli_acp` → `prepare_session` → `open_session`	`CopilotCliAcpDriver`; `InteractiveSessionDriver`	persistent_session=`unsupported`; management_binding=`no`; archive=`unsupported`; restore=`unsupported`; delete=`unsupported`; deletion_strength=`unsupported`; version_identity=exact `1.0.80`; selected ACP route advertises no close, load, or delete; cleanup_guarantee=connection, process, and task cleanup only; provider-owned session state is preserved	yes	notes	CHANGED:surface	UNCHANGED:NONE	BREAKING shared close seam: exact HostServices + SessionCleanupRequest + caller-selected absolute deadline; expiry/cancellation transfers cleanup ownership and never claims Clean without proof	compatible extension/currentness or additive route-local behavior	existing supported route identity and prior behavior remain; additions are opt-in, exact-version-bound, or dispatch-only unless the evidence column names a stricter boundary	current/tag route snapshots; route/lifecycle/feature/activity matrices; mapped Research and g04/g05 card closeouts; unchanged fields are negative evidence	CHANGELOG [Unreleased] Changed/Added entries and route guides cover the named feature/currentness item; Card051 must consolidate release-note wording	no action for existing uses; opt into additions only at their exact qualified point; rollback omits the new selection and returns to v0.3.3 route behavior
`cursor-agent.acp`	`swallowtail-adapter-cursor`; `swallowtail.cursor-agent.acp`	durable interactive session; ACP v1 stdio	approved executable and environment; provider-supported delegated Cursor subscription login; explicit ambient read-write workspace authority	`cursor-agent.release-date`; exact `2026.07.01-41b2de7`, `2026.07.23-e383d2b`, `2026.08.04-aaa8809`, and `2026.08.11-e8db854`; no inferred gap; later dates permitted as visible unverified newer	`prepare_cursor(Acp)` → `prepare_session` → `open_session`	`CursorAcpDriver`; `InteractiveSessionDriver`	persistent_session=`unsupported`; management_binding=`no`; archive=`unsupported`; restore=`unsupported`; delete=`unsupported`; deletion_strength=`unsupported`; version_identity=exact qualified `2026.07.01-41b2de7`, `2026.07.23-e383d2b`, `2026.08.04-aaa8809`, and `2026.08.11-e8db854`; no inferred gap; later dates remain visible `UnverifiedNewer`; load suppresses history-read and per-turn replay failures, so advertisement cannot qualify continuation recovery or lifecycle management; cleanup_guarantee=connection, resource, process, and task cleanup only; provider session state is preserved	yes	reasoning_selection;notes	UNCHANGED:NONE	UNCHANGED:NONE	BREAKING shared close seam: exact HostServices + SessionCleanupRequest + caller-selected absolute deadline; expiry/cancellation transfers cleanup ownership and never claims Clean without proof	unchanged route-local behavior; explicit negative evidence	route-local identity, surface, authority, version, prepared behavior, driver, lifecycle, and feature row show no delta versus v0.3.3; shared close seam applies	current route/lifecycle snapshot equals the v0.3.3 row; route and lifecycle delta inventories record no change; feature/activity matrices are unchanged	no route-local release-note delta required; immutable v0.3.3 route row is the negative evidence	v0.4.0 consumers still update the shared InteractiveSessionHandle::close call if this route uses interactive sessions; otherwise none; rollback is the v0.3.3 source
`cursor-agent.catalogue`	`swallowtail-adapter-cursor`; `swallowtail.cursor-agent.catalogue`	authenticated model catalogue; Cursor models stdio	approved executable and environment; provider-supported delegated Cursor subscription login	`cursor-agent.release-date`; exact `2026.07.01-41b2de7`, `2026.07.23-e383d2b`, `2026.08.04-aaa8809`, and `2026.08.11-e8db854`; no inferred gap; later dates permitted as visible unverified newer	`prepare_cursor(Catalogue)` → `prepare_catalogue` → `list_models`	`CursorCatalogueDriver`; `ModelCatalogDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=exact qualified `2026.07.01-41b2de7`, `2026.07.23-e383d2b`, `2026.08.04-aaa8809`, and `2026.08.11-e8db854`; no inferred gap; later dates remain visible `UnverifiedNewer`; catalogue has no provider session; cleanup_guarantee=process cleanup only	yes	reasoning_selection;notes	UNCHANGED:NONE	UNCHANGED:NONE	NONE (negative evidence: route does not use InteractiveSessionDriver)	unchanged route-local behavior; explicit negative evidence	none; route identity, surface, authority, version, prepared behavior, driver, lifecycle, and feature row show no delta versus v0.3.3	current route/lifecycle snapshot equals the v0.3.3 row; route and lifecycle delta inventories record no change; feature/activity matrices are unchanged	no route-local release-note delta required; immutable v0.3.3 route row is the negative evidence	none; existing route remains compatible; rollback is the v0.3.3 source
`cursor-agent.headless`	`swallowtail-adapter-cursor`; `swallowtail.cursor-agent.headless`	explicit-model one-prompt structured run with optional typed bracket model parameters (`fast`, `context`, `effort`), qualified high-effort `ReasoningSelection` on named Opus tuples only, assistant, thinking, tool, result, and usage events; Cursor stream JSON over stdio	approved executable and environment; provider-supported delegated Cursor subscription login; explicit read-only plan mode or read-write authority; optional closed Cursor-local Ask read mode on read authority and exactly qualified releases only, at qualified dispatch without an enforced read-only boundary; optional sandbox not selected	`cursor-agent.release-date`; exact `2026.07.01-41b2de7`, `2026.07.23-e383d2b`, `2026.08.04-aaa8809`, and `2026.08.11-e8db854`; no inferred gap; later dates permitted as visible unverified newer	`prepare_cursor(Headless)` → `prepare_run` → `start_run`	`CursorHeadlessDriver`; `StructuredRunDriver`	persistent_session=`unsupported`; management_binding=`no`; archive=`unsupported`; restore=`unsupported`; delete=`unsupported`; deletion_strength=`unsupported`; version_identity=exact qualified `2026.07.01-41b2de7`, `2026.07.23-e383d2b`, `2026.08.04-aaa8809`, and `2026.08.11-e8db854`; no inferred gap; later dates remain visible `UnverifiedNewer`; durable provider state exposes no public session identity; cleanup_guarantee=process and task cleanup only; provider state is preserved	yes	reasoning_selection;notes	CHANGED:surface;authority	UNCHANGED:NONE	NONE (negative evidence: route does not use InteractiveSessionDriver)	compatible extension/currentness or additive route-local behavior	existing supported route identity and prior behavior remain; additions are opt-in, exact-version-bound, or dispatch-only unless the evidence column names a stricter boundary	current/tag route snapshots; route/lifecycle/feature/activity matrices; mapped Research and g04/g05 card closeouts; unchanged fields are negative evidence	CHANGELOG [Unreleased] Changed/Added entries and route guides cover the named feature/currentness item; Card051 must consolidate release-note wording	no action for existing uses; opt into additions only at their exact qualified point; rollback omits the new selection and returns to v0.3.3 route behavior
`deepagents.acp`	`swallowtail-adapter-deepagents`; `swallowtail.deepagents.acp`	one bounded interactive session; ACP v1 stdio	approved executable and environment; provider-supported host-owned Anthropic or OpenAI API keys without a credential lease; explicit working resource	`deepagents-acp.package`; exact `0.1.25`; no unverified-newer execution	`prepare_deepagents_acp` → `prepare_session` → `open_session`	`DeepAgentsAcpDriver`; `InteractiveSessionDriver`	persistent_session=`unsupported`; management_binding=`no`; archive=`unsupported`; restore=`unsupported`; delete=`unsupported`; deletion_strength=`unsupported`; version_identity=exact `0.1.25`; selected ACP route advertises no close, load, or delete; in-process sessions are not durable across restart; cleanup_guarantee=connection, process, and task cleanup only	yes	NONE (negative evidence: feature row unchanged)	UNCHANGED:NONE	UNCHANGED:NONE	BREAKING shared close seam: exact HostServices + SessionCleanupRequest + caller-selected absolute deadline; expiry/cancellation transfers cleanup ownership and never claims Clean without proof	unchanged route-local behavior; explicit negative evidence	route-local identity, surface, authority, version, prepared behavior, driver, lifecycle, and feature row show no delta versus v0.3.3; shared close seam applies	current route/lifecycle snapshot equals the v0.3.3 row; route and lifecycle delta inventories record no change; feature/activity matrices are unchanged	no route-local release-note delta required; immutable v0.3.3 route row is the negative evidence	v0.4.0 consumers still update the shared InteractiveSessionHandle::close call if this route uses interactive sessions; otherwise none; rollback is the v0.3.3 source
`deepseek-harness.jsonrpc`	`swallowtail-adapter-deepseek-harness`; `swallowtail.deepseek-harness.jsonrpc`	one explicit-model bounded structured run; initialize, prompt receipt, idle fold, shutdown; JSON-RPC 2.0 NDJSON over one joined owned process	approved exact `dsh-jsonrpc-agent-pkg-macos-arm64`; host Cordis configuration, explicit provider/model, and read-only working resource; no credential lease	`deepseek-harness.runtime-bin`; exact `0.1.0rc6`; no unverified-newer execution	`prepare_deepseek_harness_jsonrpc` → `prepare_run` → `start_run`; cancellation force-stops the owned process	`DeepSeekHarnessJsonRpcDriver`; `StructuredRunDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=exact `0.1.0rc6`; one operation-owned process and no provider session identity; cleanup_guarantee=process and task cleanup only; host Cordis configuration is preserved	yes	NONE (negative evidence: feature row unchanged)	UNCHANGED:NONE	UNCHANGED:NONE	NONE (negative evidence: route does not use InteractiveSessionDriver)	unchanged route-local behavior; explicit negative evidence	none; route identity, surface, authority, version, prepared behavior, driver, lifecycle, and feature row show no delta versus v0.3.3	current route/lifecycle snapshot equals the v0.3.3 row; route and lifecycle delta inventories record no change; feature/activity matrices are unchanged	no route-local release-note delta required; immutable v0.3.3 route row is the negative evidence	none; existing route remains compatible; rollback is the v0.3.3 source
`deepseek-harness.local-server`	`swallowtail-adapter-deepseek-harness`; `swallowtail.deepseek-harness.local-server`	bounded structured run plus provider-session catalogue/search/models, control-free history pages, native fork, native cancel, and target-only archive; loopback HTTP and WebSocket `/api` over one joined `dsh web` child	host-approved `dsh` executable and Cordis configuration; exact loopback endpoint; explicit provider/model and read-only working resource; local unauthenticated access with no credential lease	`deepseek-harness.web`; exact `0.1.0-rc.6`; no unverified-newer execution	`prepare_deepseek_harness_web` → run, catalogue, history, fork, or archive profile → typed operation; history exposes no resume handle and fork remains route-local native authority; live smoke remains operator-gated	`DeepSeekHarnessWebDriver`; `StructuredRunDriver`, `ProviderSessionCatalogueDriver`, `ProviderSessionHistoryDriver`, and `ProviderSessionManagementDriver`	persistent_session=`supported`; management_binding=`yes`; archive=`supported`; restore=`unsupported`; delete=`unsupported`; deletion_strength=`unsupported`; version_identity=exact `0.1.0-rc.6`; provider sessions remain provider-owned; control-free history, native fork, and archive are qualified without public load/resume or import; cleanup_guarantee=joins HTTP/WebSocket and task work, then stops and joins the owned `dsh web` child; host Cordis configuration and provider state remain host-owned	yes	NONE (negative evidence: feature row unchanged)	UNCHANGED:NONE	UNCHANGED:NONE	NONE (negative evidence: route does not use InteractiveSessionDriver)	unchanged route-local behavior; explicit negative evidence	none; route identity, surface, authority, version, prepared behavior, driver, lifecycle, and feature row show no delta versus v0.3.3	current route/lifecycle snapshot equals the v0.3.3 row; route and lifecycle delta inventories record no change; feature/activity matrices are unchanged	no route-local release-note delta required; immutable v0.3.3 route row is the negative evidence	none; existing route remains compatible; rollback is the v0.3.3 source
`deepseek.continuation`	`swallowtail-adapter-deepseek`; `swallowtail.deepseek.direct`	catalogue; one-request structured run with exact enabled `low\|high\|max` reasoning or adapter-local disabled thinking; interactive direct continuation fixed to enabled `low\|high\|max`; OpenAI-compatible HTTP/SSE	exact `https://api.deepseek.com` target; Open Platform API key	`deepseek.openai-chat-facade`; exact opaque revision	`prepare_deepseek_direct` → catalogue, run, or session profile → `list_models`, `start_run`, or `open_session`; disabled runs omit portable reasoning and `reasoning_effort`, while one enabled selection remains fixed across continuation and fresh restoration; disabled sessions, aliases, and mismatches reject before network work	`DeepSeekDirectDriver`; `ModelCatalogDriver`, `StructuredRunDriver`, and `InteractiveSessionDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=exact opaque `deepseek.openai-chat-facade` revision; continuation is consumer-owned; cleanup_guarantee=request and stream cleanup only	yes	notes	CHANGED:surface;prepared_behavior	UNCHANGED:NONE	BREAKING shared close seam: exact HostServices + SessionCleanupRequest + caller-selected absolute deadline; expiry/cancellation transfers cleanup ownership and never claims Clean without proof	compatible extension/currentness or additive route-local behavior	existing supported route identity and prior behavior remain; additions are opt-in, exact-version-bound, or dispatch-only unless the evidence column names a stricter boundary	current/tag route snapshots; route/lifecycle/feature/activity matrices; mapped Research and g04/g05 card closeouts; unchanged fields are negative evidence	CHANGELOG [Unreleased] Changed/Added entries and route guides cover the named feature/currentness item; Card051 must consolidate release-note wording	no action for existing uses; opt into additions only at their exact qualified point; rollback omits the new selection and returns to v0.3.3 route behavior
`gemini-cli.acp`	`swallowtail-adapter-gemini`; `swallowtail.gemini.acp`	interactive session with negotiated model options, optional exact plan-mode selection on the read-only profile, or bounded host text-write callbacks; ACP v1 stdio	approved executable; provider-supported Gemini Developer API-key profile	`gemini-cli.acp-agent`; maintained `0.51.0..=0.56.0` plus permitted unverified-newer stable points	`prepare_gemini_acp` → `prepare_session` → `open_session`; read options from the authorized handle	`GeminiAcpDriver`; `InteractiveSessionDriver`	persistent_session=`unsupported`; management_binding=`no`; archive=`unsupported`; restore=`unsupported`; delete=`unsupported`; deletion_strength=`unsupported`; version_identity=maintained `0.51.0..=0.56.0`; later stable points may be visible `UnverifiedNewer`; selected ACP route advertises no close or delete; cleanup_guarantee=connection and process cleanup only; provider state is preserved	yes	guaranteed_version_posture	CHANGED:surface;version_identity	CHANGED:version	BREAKING shared close seam: exact HostServices + SessionCleanupRequest + caller-selected absolute deadline; expiry/cancellation transfers cleanup ownership and never claims Clean without proof	compatible extension/currentness or additive route-local behavior	existing supported route identity and prior behavior remain; additions are opt-in, exact-version-bound, or dispatch-only unless the evidence column names a stricter boundary	current/tag route snapshots; route/lifecycle/feature/activity matrices; mapped Research and g04/g05 card closeouts; unchanged fields are negative evidence	CHANGELOG [Unreleased] Changed/Added entries and route guides cover the named feature/currentness item; Card051 must consolidate release-note wording	no action for existing uses; opt into additions only at their exact qualified point; rollback omits the new selection and returns to v0.3.3 route behavior
`gemini-cli.headless`	`swallowtail-adapter-gemini`; `swallowtail.gemini.headless`	one-prompt structured run with usage; stream-json stdio	approved executable and environment; provider-supported Gemini Developer API-key profile; explicit ambient harness configuration and durable transcript retention	`gemini-cli.headless-stream-json`; maintained `0.51.0..=0.56.0` plus permitted unverified-newer stable points	`prepare_gemini_cli(Headless)` → `prepare_run` → `start_run`	`GeminiHeadlessDriver`; `StructuredRunDriver`	persistent_session=`unsupported`; management_binding=`no`; archive=`unsupported`; restore=`unsupported`; delete=`unsupported`; deletion_strength=`unsupported`; version_identity=maintained `0.51.0..=0.56.0`; delete exit and provider prose cannot confirm removal, while `--list-sessions` may invoke summary inference and mutate history; cleanup_guarantee=durable runs preserve the transcript; the opt-in owned cleanup profile issues one joined delete attempt and reports removal unconfirmed without listing	yes	guaranteed_version_posture	CHANGED:version_identity	CHANGED:version	NONE (negative evidence: route does not use InteractiveSessionDriver)	compatible extension/currentness or additive route-local behavior	existing supported route identity and prior behavior remain; additions are opt-in, exact-version-bound, or dispatch-only unless the evidence column names a stricter boundary	current/tag route snapshots; route/lifecycle/feature/activity matrices; mapped Research and g04/g05 card closeouts; unchanged fields are negative evidence	CHANGELOG [Unreleased] Changed/Added entries and route guides cover the named feature/currentness item; Card051 must consolidate release-note wording	no action for existing uses; opt into additions only at their exact qualified point; rollback omits the new selection and returns to v0.3.3 route behavior
`gemini.live`	`swallowtail-adapter-gemini`; `swallowtail.gemini.live`	realtime media session with exact `minimal\|low\|medium\|high` reasoning selection, optional positive output-token maximum through `65_536`, and adapter-local default-only sliding-window context compression on `gemini-3.1-flash-live-preview`; Gemini Live raw WebSocket	approved Gemini Live endpoint; project authorization API key	`gemini.live-facade`; exact opaque `...BidiGenerateContent.thinking-output-max-context-compression-2026-08-23` revision	`prepare_gemini_live` → `prepare_live_session` → `open_session` or fresh realtime restoration; selected controls remain fixed across initial setup, one planned rollover, and fresh restoration; omission keeps `MINIMAL`, omits `maxOutputTokens` and `contextWindowCompression`, and claims neither caller selection nor effective compression	`GeminiLiveDriver`; `RealtimeMediaSessionDriver`	persistent_session=`not-applicable`; management_binding=`no`; archive=`not-applicable`; restore=`not-applicable`; delete=`not-applicable`; deletion_strength=`not-applicable`; version_identity=exact opaque `gemini.live-facade` revision; media session is connection-scoped; cleanup_guarantee=provider rollover and connection cleanup only	yes	output_token_limit;reasoning_selection;notes	CHANGED:surface;version_identity;prepared_behavior	UNCHANGED:NONE	NONE (negative evidence: route does not use InteractiveSessionDriver)	compatible extension/currentness or additive route-local behavior	existing supported route identity and prior behavior remain; additions are opt-in, exact-version-bound, or dispatch-only unless the evidence column names a stricter boundary	current/tag route snapshots; route/lifecycle/feature/activity matrices; mapped Research and g04/g05 card closeouts; unchanged fields are negative evidence	CHANGELOG [Unreleased] Changed/Added entries and route guides cover the named feature/currentness item; Card051 must consolidate release-note wording	no action for existing uses; opt into additions only at their exact qualified point; rollback omits the new selection and returns to v0.3.3 route behavior
`goose.acp`	`swallowtail-adapter-goose`; `swallowtail.goose.acp`	one bounded interactive session; ACP v1 stdio	approved executable and environment; provider-supported local Goose config state without a credential lease; explicit working resource	`goose.release`; exact `1.46.0`; no unverified-newer execution	`prepare_goose_acp` → `prepare_session` → `open_session`	`GooseAcpDriver`; `InteractiveSessionDriver`	persistent_session=`unsupported`; management_binding=`no`; archive=`unsupported`; restore=`unsupported`; delete=`unsupported`; deletion_strength=`unsupported`; version_identity=exact `1.46.0`; selected ACP route advertises no close, load, or delete; cleanup_guarantee=connection, process, and task cleanup only; provider-owned session state is preserved	yes	NONE (negative evidence: feature row unchanged)	UNCHANGED:NONE	UNCHANGED:NONE	BREAKING shared close seam: exact HostServices + SessionCleanupRequest + caller-selected absolute deadline; expiry/cancellation transfers cleanup ownership and never claims Clean without proof	unchanged route-local behavior; explicit negative evidence	route-local identity, surface, authority, version, prepared behavior, driver, lifecycle, and feature row show no delta versus v0.3.3; shared close seam applies	current route/lifecycle snapshot equals the v0.3.3 row; route and lifecycle delta inventories record no change; feature/activity matrices are unchanged	no route-local release-note delta required; immutable v0.3.3 route row is the negative evidence	v0.4.0 consumers still update the shared InteractiveSessionHandle::close call if this route uses interactive sessions; otherwise none; rollback is the v0.3.3 source
